Supplementary Tabl 4.2. Phenotype data formatted for calculating correlations and QTL mapping.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Only winter/extended cold temperature associated traits were used for QTL mapping in this chapter (columns D:AE). Additional columns used to calculate correlations. Planting replicates indicated as W1-W3. Spike replicates indicated as 1 or 2. anth = anthocyanin. OD = average of T and C experimental replicates. T = cold shock/LMA-treated. C = control/untreated.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subpopulation,Genotype,Subpop. ID,WLMA freq.,cube W avg.,cube W1 avg.,cube W2 avg.,cube W3 avg.,cube W1.S1 avg.,cube W1.S2 avg.,cube W2.S1 avg.,cube W2.S2 avg.,cube W3.S1 avg.,cube W3.S2 avg.,W avg.,W1 avg.,W2 avg.,W3 avg.,W1.S1 avg.,W1.S2 avg.,W2.S1 avg.,W2.S2 avg.,W3.S1 avg.,W3.S2 avg.,avg. anth. count,avg. grain fill,avg. spike distortion,avg. spike curl,W1.anth. count,W2.anth. count,W3.anth. count,TLMA_freq,CLMA_freq,cube avg. OD,cube avg. T,cube avg. C
HT080125LU,40,HT080125LU_40,3,0.919121062,0.970248634,1.011085002,0.725821502,1.02201192,0.912280237,1.071586432,0.942320358,0.524148279,0.853045591,0.776458333,0.913375,1.033625,0.382375,1.0675,0.75925,1.2305,0.83675,0.144,0.62075,1.666666667,2.666666667,0.666666667,0,1,2,2,2,3,0.633243183,0.632261962,0.634546766
HT080125LU,41,HT080125LU_41,2,1.181983959,1.124847716,1.503491865,0.509325007,1.268161516,0.931017501,1.632130402,1.348008036,0.5,0.518320518,1.651333333,1.42325,3.398625,0.132125,2.0395,0.807,4.34775,2.4495,0.125,0.13925,1.666666667,2.333333333,0.333333333,0.333333333,0,3,2,3,3,0.748783212,0.810495387,0.630746993
HT080125LU,42,HT080125LU_42,2,1.124056823,0.781065823,1.523841277,0.626370327,0.73573022,0.821673165,1.580892515,1.4621648,0.605504895,0.645931191,1.42025,0.4765,3.5385,0.24575,0.39825,0.55475,3.951,3.126,0.222,0.2695,1.666666667,3,0.333333333,0,0,3,2,2,2,1.316457443,1.429892896,0.877800551
HT080125LU,43,HT080125LU_43,1,0.698067231,0.771314447,0.621014641,0.685501081,0.754491566,0.787433857,0.602305941,0.638659303,0.754637927,0.598607884,0.340166667,0.458875,0.2395,0.322125,0.4295,0.48825,0.2185,0.2605,0.42975,0.2145,2.333333333,2.666666667,0.333333333,0.333333333,1,3,3,2,2,0.612314952,0.616553019,0.60584564
HT080125LU,44,HT080125LU_44,2,1.304569717,1.222603952,NA,1.377356839,1.19002142,1.253536651,NA,NA,1.34759517,1.405885091,2.22025,1.8275,NA,2.613,1.68525,1.96975,NA,NA,2.44725,2.77875,1.333333333,2,0.5,0,2,0,2,2,3,0.573963687,0.574511242,0.572865432
HT080125LU,45,HT080125LU_45,2,1.171856696,1.445327807,1.153455266,0.649407745,1.495281469,1.391659595,1.189314861,1.11521556,0.695894334,0.595098964,1.60925,3.01925,1.534625,0.273875,3.34325,2.69525,1.68225,1.387,0.337,0.21075,2,2.666666667,0.666666667,0.333333333,1,2,3,2,1,0.768276914,0.767089139,0.77005172
HT080125LU,46,HT080125LU_46,3,1.092546022,1.204209751,1.067177761,0.983306201,1.100894589,1.292311621,1.087953966,1.045559478,1.165143136,0.68381221,1.304125,1.74625,1.215375,0.95075,1.33425,2.15825,1.28775,1.143,1.58175,0.31975,3.333333333,2.666666667,0.333333333,0,2,4,4,2,2,0.850889751,0.905504672,0.713512974
HT080125LU,47,HT080125LU_47,3,1.214936763,1.650963624,0.747920164,0.772852187,1.650963624,1.650963624,0.641911602,0.830223968,0.750961729,0.793568221,1.793333333,4.5,0.418375,0.461625,4.5,4.5,0.2645,0.57225,0.4235,0.49975,2.333333333,2.333333333,0.333333333,0.666666667,3,2,2,3,2,0.665763534,0.673223495,0.663239355
HT080125LU,48,HT080125LU_48,3,1.406601476,1.477669207,1.351712504,1.384306021,1.332841833,1.598599034,1.29305966,1.40567425,1.450217962,1.311437538,2.783,3.2265,2.46975,2.65275,2.36775,4.08525,2.162,2.7775,3.05,2.2555,2.666666667,3,0.333333333,0.333333333,3,2,3,3,1,0.746931911,0.841171598,0.619932355
HT080125LU,4,HT080125LU_4,2,0.825665212,0.869943626,0.928994172,0.611357721,0.607317794,1.030007227,1.003653304,0.839903617,0.611357721,NA,0.562875,0.658375,0.80175,0.2285,0.224,1.09275,1.011,0.5925,0.2285,NA,2.666666667,3,0.666666667,0,1,3,4,3,2,0.665639291,0.637977557,0.684968653
